source,target,type,confident,description
4,9,CB,FALSE,"Counterbleeding: Had the change *ś > *sʼ (§ 9) occurred before the Depalatalization (§ 4), the former change would have withdrawn inputs from the latter."
4,15,B,TRUE,"Bleeding: The Depalatalization (§ 4) withdrew inputs from the shortening of word-final *ēn to *en, cf. PSl. *me̠ljān > *me̠ljēn > *meljā̠n > *melja̠n > Ru mʼɪlʼu̠; PSl *zejmān > *zejmēn > *zejmān > *zīman > Ru. zʼi̠mu."
4,24,CF,FALSE,"Counterfeeding: Had the j-Prothesis occurred before the Depalatalization (§ 4), the former change would have created inputs for the latter, cf. PSl. *ē̠˙stēj > Ru. je̠sʼtʼ, and not *ē̠˙stēj > **jē̠˙stēj > **jā̠˙stēj > Ru. **ja̠sʼtʼ."
4,28,F,TRUE,"Feeding: The Depalatalization (§ 4) created inputs for the shortening of word-final long vowels (§ 28), cf. PSl. *wa̠ljā˙ > *wa̠ljē˙ > *wa̠ljā˙ > *wolˊjā̠ > *wolˊja̠ > Ru. vo̠lʼɪ."
4,65,CB,TRUE,"Counterbleeding: Had the shortening of long vowels (§ 65) occurred before the Depalatalization (§ 4), the former change would have withdrawn inputs from the latter, cf. PSl. *džē̠˙li > *džā̠˙li > Ru. ża̠lʼ, and not PSl. *džē̠˙li > **dže̠˙li > Ru. **że̠lʼ."
5,7,LW,TRUE,Loanword: The Croatian toponym O̠.ciń (< Sl *Ulkī̠˙nju < Rom. *Ọlkẹ̠̄nʼu < Lat. Olci̠nium) was borrowed posterior to the operation of w-prothesis (§ 5) but prior to the Second Palatalization (§ 7).
5,17,CB,FALSE,"Counterbleeding: It is phonetically less plausible that w developed before *ȳ. Had the change of *ū to *ȳ (§ 17) occurred before w-Prothesis (§ 5), the former change would have withdrawn inputs from the latter (§ 5)."
5,55,F,FALSE,"Feeding: It is phonetically more plausible that the prothetic consonant resulting from w-Prothesis (§ 5) was homorganic with the preceding vowel and hence, occurred before the change of *w to *v (§ 55)."
6,26,CF,FALSE,"Counterfeeding: Had the change of *ē to *ě̄ (§ 26) occurred before the change of *ẹ̄ to *ī (§ 6), the former change would have created intputs for the latter since it is likely that *ě̄ presented a closed e-vowel. "
7,9,F,TRUE,Feeding: The Second Palatalization (§ 7) of PSl. *x to *ś created inputs for the change of *ś to sʼ (§ 9).
7,13,F,TRUE,"Feeding: The Second Palatalization (§ 7) created inputs for the assibilation of *t' to *c' and of *d' to *dz', cf. PSl. *kajnā̠˙ > tˊēnā̠˙ > *cʼēnā̠˙ > Ru. cəna̠; PSl. *kwajtu > *tˊwētu > *cʼwētu > Ru. cvʼe̠t; PSl *gwa̠jzdā˙ > *dˊwē̠zdā˙ > *dzʼwēzdā̠˙ > Ru. zʼvʼɪzda̠"
7,35,LW,FALSE,"Loanword: The toponym Lat. *Quirī̠nus > Rom. *Kẹrī̠nu > Sl. *Kirī̠nu > Čak. Ka̠rin was borrowed into Croation only after the operation of the Second Palatalization(§ 7), but before Ivšić's  first law (§ 35)."
8,18,F,FALSE,"Feeding: l-Epenthesis (§ 8) created inputs for the jotation of *lj to *lˊ (§ 18), cf. PSl. *bjawstē̠j > *bljọ̄stī̠ > *blˊjọ̄stī̠ > Ru. blʼustʼi̠."
8,29,CB,TRUE,"Counterbleeding: Had the loss of postconsonantal *j (§ 29) occurred before l-Epenthesis (§ 8), the former change would have withdrawn inputs from the latter, cf. PSl. *zemjā̠˙ > *zemlˊja̠ > *zemlˊa̠ > Ru. zʼɪmlʼa̠ and not *zemjā̠˙ > **zemā̠˙ etc."
8,30,F,TRUE,"Feeding: l-Epenthesis (§ 8) created inputs for jer-Epenthesis (§ 30), cf. PSl. *zemju̠ > *zemlji̠ > *zemlˊь̠ > *zemьlˊь̠ > Ru. zʼɪmʼe̠lʼ; PSl. *kā̠˙pju > *kā̠˙plji > *kā̠˙plˊь > *kā̠˙pьlˊь Ru. ka̠pʼɪlʼ."
8,38,LW,TRUE,"Loanword: The loanword Fi. luota (cf. PSl. *bja̠w˙da) reflects a stage posterior to l-Epenthesis (§ 8), but prior to the change of *ọ̄ to *ū (§ 38)."
8,48,CF,TRUE,"Counterfeeding: Had the loss of weak jers (§ 48) occurred before the l-Epenthesis, the former change would have created inputs for the latter, cf. PSl. *karbi̠jā˙ > *korobь1ja̠ > *korobja̠ > Ru. kərʌbja̠."
10,12,CF,FALSE,"Counterfeeding: Unstressed word-initial liquid diphthongs which had the feature ""acute"" developed in the same way as stressed word-initial liquid diphthongs, i.e.  cf. Ukr. ратa̠й. Had Meillet's metatony (§ 12) eliminated the acute in unstressed syllables before liquid metathesis (§ 10), the former change would have created input for the latter, cf. cf. *a̠R˙C- > *rā̠˙C- and not *a̠R˙C- > *a̠RC- > *ra̠C-. "
10,12,CB,FALSE,"Counterbleeding: Unstressed word-initial liquid diphthongs which have the feature ""acute"" develop in the same way as stressed word-initial liquid diphthongs, i.e.  cf. Ukr. ратa̠й. Had Meillet's metatony (§ 12) eliminated the acute in unstressed syllables before liquid metathesis (§ 10), the former change would have withdrawn inputs from the latter, cf. *a̠R˙C- > *rā̠˙C-, not *a̠R˙C- > *a̠RC- > *ra̠C-. "
10,19,B,FALSE,"Bleeding: The liquid metathesis (§ 10) withdrew inputs from the change of *CelC to *CalC and of *CilC to *CulC, cf. PSl. *elbedā̠˙ > *lebedā̠˙ > Ru lʼɪbʼɪda̠ and not *elbedā̠˙ > **albedā̠˙ etc."
10,23,LW,FALSE,"Loanword: 'The toponym Ru. Olьnica was borrowed from Baltic (cf. OPr. Alna, Alne) posterior the liquid metathesis (§ 10), but prior to the change of *a to *o (§ 23)."
10,24,CB,FALSE,"Counterfeeding: Had the j-Prothesis (§ 24) occurred before the liquid metathesis (§ 10), the former change would have withdrawn inputs for the latter, cf. PSl. *elbedā̠˙ > *lebedā̠˙ > Ru. lʼɪbʼɪda̠ and not *elbedā̠˙ > **jelbedā̠˙ etc."
10,31,F,FALSE,"Feeding: The liquid metathesis (§ 10) created inputs for the rise of secondary palatalization (§ 31), cf. PSl. *elbedā̠˙ > *lebeda̠ > *lʼebʼeda̠ > Ru. lʼɪbʼɪda̠."
10,36,CF,FALSE,"Counterfeeding: Had Ivšić's second law (§ 36) occurred before the liquid metathesis (§ 10), the former change would have created inputs for the latter, cf. PSl. *a̠rwinuju > *rowʼь̠1nъ2jь1 > *ro̠wʼь1nъ2jь1 > Ru. ro̠vnəj not *a̠rwinuju > *arwʼь̠1nъ2jь1 > *a̠rwʼь1nъ2jь1 > *rā̠wʼь1nъ2jь1 etc."
10,45,LW,FALSE,"Loanword: The personal names ORu. Olьgъ and Olьga where borrowed from ONord. Helgi and Helga posterior to the Liquid metathesis (§ 10), but prior to the change of word-initial *je- to *o (§ 45)."
10,48,LW,TRUE,Loanword: The fact that a jer was inserted after the word-initial sequences of non-high-vowel and liquid in the borrowed personal names ORu Olьgъ and Olьga (cf. ON Helgi and Helga) showed that the corresponding sequences where not present in the language anymore and that the liquid metathesis (§ 10) had already taken place. 
10,48,M,TRUE,"Manuscript: While the liquid metathesis (§ 10) occurred before the first written records were compiled, the loss of weak jers (§ 48) took place only in the 12th century."
10,52,LW,TRUE,"Loanword: The fact that the word-initial sequences of non-high vowel and liquid was simplified by insertion of a jer in the personal names ORu. Olьgъ and Olьga (cf. ON Helgi and Helga) shows that these sequences, at the time of the borrowing, were not a part of the language anymore. Hence, liquid metathesis (§ 10) must have occurred prior to the change of *ь to *e and of *ъ to *o (§ 52)."
10,52,M,TRUE,"Manuscript: while liquid metathesis occured before the change *ъ > *o, *ь > *e (§ 52), took place only in the 12th century"
11,12,B,FALSE,"Bleeding: By shifting the accent on a following syllable bearing accuteness, Dybo's law (§ 11) withdrew inputs from Meillet's metatony (§ 12)."
11,16,LW,TRUE,"Loanword: The loanword Lat. lactū̠ca > Rom. *laχtū̠ka  > Sl. *laxtū̠kā˙ > *lotȳ̠kā˙ > Čak. lo̠tika was borrowed posterior to Dybo's law (§ 11), but prior to the change of *kt to *t (§ 16)."
11,17,LW,TRUE,"Loanword: The loanword Lat. lactū̠ca > Rom. *laχtū̠ka  > Sl. *laxtū̠kā˙ > *lotȳ̠kā˙ > Čak. lo̠tika was borrowed posterior to Dybo's law (§ 11), but prior to the delabialization of *ū to *ȳ (§ 16)."
11,22,F,FALSE,"Feeding: Dybo's law (§ 11) created inputs for the pleophony of accented tautosyllabic *a̠r to *ara̠ (§ 22) in word-medial position, cf. PSl. *a̠gardu > *aga̠rdu > *agara̠du > Ru. ʌgʌro̠d."
11,23,LW,FALSE,"Loanword: The loanword Rom. *taβe̠rna > Čak. tovē̠·rna was borrowed posterior to Dybo's law (§ 11), but prior to the change of *a to *o (§ 23)."
11,26,LW,FALSE,"Loanword: The loanword Latv. grȩ̀ks (cf. Ru грe̠х) was borrowed posterior to Dybo's law (§ 11), but prior to the change of *ē to *ě̄ (§ 26). "
11,27,LW,FALSE,"Loanword: The loanword Lat. Ma̠ximus > rom.*Ma̠jsẹmu > sl. *Ma̠jsьmъ > Čak. *Ma̠jsan was borrowed posterior to Dybo's law (§ 11), but prior to the change of *i to *ь and of *u to *ъ (§ 27)."
11,29,F,TRUE,Feeding: Dybo's law (§ 11) created inputs for Kortlandt's compensatory lenghtening (§ 27).
11,35,F,TRUE,"Feeding: Dybo's law (§ 11) created inputs for Ivšić's first law (§ 36), cf. PSl. *pe̠jsjemu > *pʼīšē̠mъ1 > *pʼī̠šēmъ1 > Ru. pʼi̠ṡəm."
11,35,B,TRUE,"Feeding: Dybo's law (§ 35) withdrew inputs from Ivšić's first law (§ 35), cf. PSl. *kamā̠ru > *kamāru̠ > Ru. kʌma̠r."
11,36,F,TRUE,"Feeding: Dybo's law (§ 11) created inputs for Ivšić's second law (§ 36), cf. PSl. *sta̠lu > *stolъ̠1 > *sto̠lъ1 > Ru. sto̠l."
11,36,B,TRUE,"Bleeding: Dybo's law (§ 11) withdrew inputs from Ivšić's second law (§ 36), cf. PSl. *gawmi̠na > *gọ̄mina̠ > Ru. gumno̠."
11,37,CF,FALSE,"Counterfeeding: Had the loss of the acute tone (§ 37) occurred prior to Dybo's law (§ 11), the former change would have created inputs for the latter."
11,38,LW,TRUE,"Loanword: The loanword Latv. ļùoti was borrowed from Slavic (cf. PSl. *lja̠wtu) when Dybo's law (§ 11) had already operated while ọ̄, which was subsequently changed to uo in Latvian, had not yet changed to *ọ̄ to *ū (§ 38)."
11,44,F,TRUE,"Feeding: Dybos' law (§ 11) created inputs for the change of stressed *o to *ô (§ 44), cf. PSl. *me̠lka > *moloko̠ > *molokô̠ > Ru. məlʌko̠."
11,53,CF,FALSE,"Counterfeeding: Had the rise of stress in unaccentuated accentual units (§ 53) occurred prior to Dybo's law (§ 11), the former change would have created inputs for the latter."
12,53,CB,TRUE,"Counterbleeding: Had the rise of stress in unaccented accentual units (§ 53) occurred prior to Meillet's law (§ 12), the former change would have withdrawn inputs from the latter, cf. *gal˙wān > kr. glā̠vu where the acute is lost in the unaccented syllable."
13,14,CF,TRUE,"Counterfeeding: Had the change of *kt to *kˊtˊ (§ 14) occurred before the assibiliation of *t' to *c' (§ 13), the former change would have created inputs for the latter."
13,18,CF,TRUE,"Counterfeeding: Had the jotation of *tj to *tˊ and of *tj to *dˊ (§ 18) occurred before the assibilation of *t' to *c'  (§ 13), the former change would have created inputs for the latter."
13,21,B,TRUE,"Bleeding: The assibiliation of *tˊ and *dˊ (§ 13) resulting from the Third and Second palatalizations (§§ 1, 7) withdrew inputs from the change of *tˊ to *č and of *dˊ to *dž (§ 21)."
13,23,LW,FALSE,"Loanword: The loanwoards Finn. arnitsa ‘thick rough linen (?)ʼ  (cf. ORu. or(ь)nica), Finn. katitsa ‘fishing weirʼ (cf. Ru. kotéc'), Estn. narits ‘minkʼ (cf. PSl. *na̠rī˙kā˙) have been borrowed posterior to the Third or palatalization (§ 1), but prior to the change of *a to *o (§ 23)."
13,24,LW,FALSE,"Loanword: The Styrian place name Aflenz (cf. Cr. Ja̠blanica) was borrowed into Old Bavarian posterior to Assibilation (§ 13), but prior to j-prothesis (§ 24)."
13,46,F,TRUE,Feeding: The assibilation of *d' to *dzʼ (§ 13) created inputs for the change of *dzʼ to *zʼ (§ 46).
13,49,F,TRUE,Bleeding: Assibilation (§ 13) withdrew inputs from the regressive assimilation before palatal consonants (§ 49).
14,16,N,FALSE,Naturalness: The reverse order would require to restrict the change of *kt to *t (§ 16) to the position before back vowels and consonants which is unnatural.
15,24,B,FALSE,Bleeding: The shortening of the word-initial diphthong *ān- (§ 15) withdrew inputs from j-prothesis before *ā- (§ 24).
16,20,F,FALSE,"Feeding: The change of *kt to *t and of *k't' to *t' (§ 16) created inputs for the change of *tl, *dl to *l (§ 29), cf. PSl. *plektlu > *pletlu > *plelu > Ru. plʼo̠l and not *plektlu > *pleklu > *plekъlъ > Ru. **plʼo̠kəl."
16,21,F,FALSE,"Feeding: The change of *kt to *t and of *k't' to *t' (§ 16) created inputs for the change of *t' to *č and of *d' to *dž (§ 21), PSl. *pekti > *pekˊtˊi > *petˊi > *peči > Ru. pʼe̠č."
16,48,CF,TRUE,"Counterfeeding: Had the loss of weak jers (§ 48) occurred prior to the change of *kt to *t and of *k't' to *t' (§ 16), the former change would have created inputs for the latter, cf. PSl. *kuta > *kъ1to > *kto > Ru. kto̠ and not **to̠."
17,23,LW,TRUE,"Loanword: The Slavic personal name Tagazino (CSl. *taga sȳnu) (Placitum of Puchenau, 827) was borrowed posterior to the change of *ū to *ȳ (§ 17) but  prior to the change of *a to *o (§ 23)."
17,28,F,TRUE,"Feeding: The change of of *ū to *ȳ (§ 17) created inputs for the shortening of word-final long vowels (28), cf. *-ū > *-ȳ > Ru -y, not *-ū > **-u etc."
17,38,CF,TRUE,"Counterfeeding: Had the change of *ọ̄ to *ū (§ 38) occurred before the change of *-ū to *-ȳ (§ 17), the former change would have created inputs for the latter."
18,21,F,TRUE,Feeding: Jotation (§ 18) of the sequences *tj and *dj created inputs for the change of *tˊ to *č and of *dˊ to *dž (§ 28).
18,22,LW,TRUE,"Loanword: Finn. värtsi 'sack' was borrowed from Slavic (cf. PSl. *we̠rtjā˙) after Jotation (§ 18), but before the rise of pleophony (§ 22)."
18,29,CB,TRUE,"Counterbleeding: Had the loss of postconsonantal *j (§ 29) occurred before Jotation (§ 18), the former change would have withdrawn inputs from the latter."
18,48,CF,TRUE,"Counterfeeding: Had the loss of weak jers (§ 48) occurred before Jotation (§ 18), the former change would have withdrawn changes from the latter, cf. PSl. *brā̠˙tijā˙ > *brā̠tʼь1ja > *brā̠tʼja > Ru. bra̠tʼjɪ and not **bra̠ča."
19,22,F,FALSE,"Feeding: The change of *CelC to *CalC (§ 19) created inputs for the rise of pleophony (§ 22), cf. *CelC > *CalC > *CalaC and not *CelC > *CeleC."
19,22,LW,FALSE,"Loanword: Lith. šálmas 'helmet' was borrowed from Slavic (cf. PSl. *še̠l˙mu) posterior to the change *CelC > *CalC (§ 19), but prior to the rise of pleophony (§ 22)."
19,23,F,FALSE,"Feeding: The change of *CelC to *CalC (§ 19) created inputs for the change of *a to *o, cf. *CelC > *CalC > *CalaC > *ColoC."
19,23,LW,FALSE,"Loanword: Lith. šálmas 'helmet' was borrowed from Slavic (cf. PSl. *še̠l˙mu) posterior to the change *CelC to *CalC (§ 19), but before the change of *a to *o (§ 23)."
19,31,B,TRUE,"Bleeding: The change of *CelC to *CalC (§ 19) withdrew inputs from the rise of secondary palatalization before front vowels (§ 31), cf. PSl. *me̠l˙tēj > *ma̠l˙tī > *molo̠tʼi > Ru. mʌlo̠tʼ, but PSl. *me̠ljān > *melˊǫ̠ > *mʼelˊǫ̠ > Ru. mʼɪlʼu̠."
20,23,LW,TRUE,"Loanword: Lat. capi̠tulum > Rom. *kapẹ̠̄tl- > Sl. *kapī̠tl- > OCr. kopitl- was borrowed posterior to the change of *tl to *l (§ 20), but prior to the change *a > *o (§ 23)."
20,30,B,TRUE,"Bleeding: The change of *tl, *dl to *l (§ 20) withdrew inputs from jer-epenthesis (§ 30). "
20,48,CF,TRUE,"Counterfeeding: Had the loss of weak jers (§ 48) occurred before the change of *tl, *dl to *l (§ 20), the former change would have created inputs for the latter, cf. PSl. *sedu̠la > *sʼedъ1lô̠ > *sʼedlô̠ > Ru. sʼɪdlo̠ and not **sʼɪlo̠."
21,22,LW,FALSE,"Loanword: The loanword Finn. värtsi 'sack' was borrowed from Slavic (cf. PSl. *we̠rtjā˙) posterior to the change of *tˊ to *č and *dˊ to *dž (§ 21), but prior to the rise of pleophony (§ 22)."
21,26,LW,FALSE,"Loanword: If the change *ē > *ě̄ (§ 26) was accompanied by a change *e > *ẹ, the loanword Finn. pätsi 'oven' (cf. PSl. *pekti) shows that it occured posterior to the change of *tˊ to *č (§ 21)."
21,29,LW,FALSE,"Loanword: The loanword Finn. värtsi 'sack' was borrowed from Slavic (cf. PSl. *we̠rtjā˙) posterior to the change of *tˊ to *č (§ 21), but prior to the rise of pleophony (§ 22). The latter change, on the other hand, must have occurred before the change *a > *o (§ 23) which preceded the shortening of word final vowels (§ 28). Since compensatory lengthening (§ 29) must have followed the shortening, the change of *tˊto *č (§ 21) can be dated before the former change."
21,39,F,TRUE,Feeding: The change of *tˊ to *č and of *dˊ to *dž (§ 21) created inputs for the change of *dž to *ž (§ 39).
21,69,F,TRUE,Feeding: The change of *tˊ to *č and of *dˊ to *dž (§ 21) created inputs for the change of *šč to *šš and of *ždž to *žž (§ 69).
22,23,LW,TRUE,"Loanword: The loanword Finn. vaalasti ‘volost (administrative subdivision)ʼ was borrowed from Slavic (cf. PSl. *walsti) posterior to the rise of pleophony (§ 22), but prior the change of a to o (§ 23)."
22,26,LW,FALSE,"Loanword: If the change of *ē to *ě̄ (§ 29) was accompanied by a change of *e to *ẹ, the loanword Wot. pärämmä 'klafter' shows that it occured posterior to the rise of pleophony (§ 22)."
22,31,F,TRUE,"Feeding: The rise of pleophony (§ 22) created inputs for the rise of secondary palatalization before front vowels (§ 31), cf. CerC > CereC > CʼerʼeC not CerC > CʼerC > CʼereC."
22,48,CF,TRUE,"Counterfeeding: Had the loss of weak jers (§ 48) occurred before the rise of pleophony (§ 22), the former change would have created inputs for the latter, cf. PSl. *garikā̠˙ > *gorьkā̠˙ > *gorʼka̠ > Ru. gʌrʼka̠ 'bitter'."
22,48,M,TRUE,Manuscript: The rise of pleophony (§ 22) is reflected in the earliest Slavic texts while the loss of weak jers (§ 48) had not yet taken place at this stage.
22,52,CF,TRUE,"Counterfeeding: Had the change of *ь to *e and of *ъ to *o (§ 52) occurred prior to the rise of pleophony (§ 22), the former change would have created inputs for the latter, cf. *pulku > *pъ2lkъ1 > *pъ2lk > Ru. po̠lk 'regiment'."
22,52,M,TRUE,Manuscript: The rise of pleophony (§ 22) is reflected in the earliest Slavic texts while the the change of *ь to *e and of *ъ to *o (§ 52) had not yet taken place at this stage.
22,59,F,TRUE,"Feeding: The rise of pleophony (§ 22) created inputs for the change of *e to *o before hard consonants (§ 59), cf. PSl. *dinimi > *dʼnʼe̠mʼ > *dʼnʼe̠m > Ru. dʼnʼo̠m."
23,24,B,FALSE,"Bleeding: Unlike word initial *ā, word initial *a did not receive a prothetic *j. This suggests that the change of *a to *o (§ 23) occurred prior to j-prothesis (§ 24). Thus the former change withdrew inputs from the latter."
23,25,P,TRUE,"Plausibility: The roundness of the back nasal vowel, as is typical for a majority of the Slavic languages, can be explained plausibly by assuming that the change of *a to *o (§ 23) preceded the rise of the nasal vowels (§ 25), cf. *an > *on > *ǭ."
23,26,LW,FALSE,"Loanword: The toponym Lat. māce̠ria > Rom. *makē̠rʼa > Sl. *makē̠rjā˙ > *makě̠̄rjā˙ > Cr. (Ikav.) Makī̠rina (suffixed) was borrowed posterior to the change of *a to *o (§ 23), but prior to the change of *ē to *ě̄ (§ 26)."
23,27,LW,FALSE,"Loanword: The toponym Lat. Ma̠ximus > Rom.*Ma̠jsẹmu > Sl. *Ma̠jsьmъ > Cr. (Čak.) *Ma̠jsan was borrowed posterior to the change of *a to *o (§ 23), but prior to the change of *i to *ь and of *u to *ъ (§ 27)."
23,28,CF,TRUE,"Counterfeeding: Had the shortening of word-final long vowels (§ 28) occurred prior to the change of *a to *o (§ 23), the former change would have created inputs for the latter."
23,44,F,TRUE,Feeding: The change of *a to *o (§ 23) created inputs für the change of *o to *ô (§ 44).
23,48,M,TRUE,Manuscript: The change of *a to *o (§ 23) is already attested in the first written records while the loss of the weak jers (§ 48) is not.
23,65,CF,TRUE,"Counterfeeding: Had the shortening of long vowels (§ 65) occurred prior to the change of *a to *o (§ 23), the former change would have created inputs for the latter."
24,33,F,TRUE,Feeding: j-Prothesis (§ 24) created inputs for the change of word initial *jь- to *i- (§ 33).
25,28,F,TRUE,Feeding: The rise of nasal vowels (§ 25) created long vowels that where affected by word-final shortening (§ 28).
25,30,B,TRUE,"Bleeding: The rise of nasal vowels (§ 25) withdrew inputs from jer-epenthesis (§ 30), cf. PSl. *uzimlu > *wuzimlu > *wuzę̄lu > Ru. vzʼal 'take' and not PSl. *uzimlu > *wuzimlu > *wъzьmlъ > **wъzьmьlъ > Ru. **vo̠zʼmel."
25,33,B,TRUE,"Bleeding: The rise of nasal vowels (§ 25) withdrew inputs from the change of word-initial *jь- to *i- (§ 33), cf. PSl. *inzū̠˙ku > *jinzȳ̠˙ku > *ję̄zȳ̠˙ku > *jazy̠kъ1 > Ru. jəzy̠k and not PSl. *inzū̠˙ku > *ьnzȳ̠˙ku > *ę̄zȳ̠˙ku etc."
